City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
rikitea,0.0,PF,1553058314.0,100.0,-23.12,-134.97,77.66,21.74
punta arenas,75.0,CL,1553058191.0,76.0,-53.16,-70.91,48.2,3.36
ushuaia,40.0,AR,1553054400.0,75.0,-54.81,-68.31,46.4,6.93
sechura,68.0,PE,1553058315.0,83.0,-5.56,-80.82,75.68,4.63
penapolis,56.0,BR,1553058042.0,83.0,-21.42,-50.08,74.51,3.06
avarua,56.0,CK,1553056200.0,78.0,-21.21,-159.78,82.4,4.7
castro,0.0,CL,1553054400.0,100.0,-42.48,-73.76,39.2,4.7
tapaua,,,,,,,,
puerto ayora,0.0,EC,1553057113.0,91.0,-0.74,-90.35,75.99,3.0
georgetown,68.0,GY,1553058317.0,90.0,6.8,-58.16,72.62,3.62
mataura,64.0,NZ,1553058007.0,85.0,-46.19,168.86,61.0,4.0
francisco sa,0.0,BR,1553054400.0,61.0,-16.48,-43.49,80.6,3.4
sao joao da barra,8.0,BR,1553058046.0,100.0,-21.64,-41.05,81.89,10.0
cabedelo,20.0,BR,1553054400.0,100.0,-6.97,-34.84,77.0,3.36
arraial do cabo,56.0,BR,1553058319.0,97.0,-22.97,-42.02,79.1,15.14
lebu,0.0,ET,1553058319.0,36.0,8.96,38.73,65.51,3.96
aragarcas,48.0,BR,1553058232.0,88.0,-15.9,-52.25,72.62,2.51
atuona,24.0,PF,1553058320.0,99.0,-9.8,-139.03,82.52,15.48
alofi,92.0,NU,1553054400.0,83.0,-19.06,-169.92,82.4,2.24
neuquen,0.0,AR,1553054400.0,81.0,-38.95,-68.06,44.6,2.95
olinda,75.0,EC,1553058169.0,83.0,-2.03,-79.75,80.6,2.24
marcona,,,,,,,,
ancud,0.0,CL,1553054400.0,100.0,-41.87,-73.83,39.2,4.7
parintins,76.0,BR,1553058322.0,94.0,-2.63,-56.73,76.22,5.41
vaini,0.0,IN,1553054400.0,57.0,15.34,74.49,77.0,5.82
cape town,20.0,ZA,1553058191.0,82.0,-33.93,18.42,64.0,10.29
saldanha,0.0,PT,1553058323.0,92.0,41.42,-6.55,30.86,5.64
san rafael,0.0,AR,1553058324.0,51.0,-34.61,-68.33,35.09,2.73
mazamari,44.0,PE,1553058325.0,95.0,-11.33,-74.53,66.05,0.72
irituia,92.0,BR,1553058325.0,98.0,-1.77,-47.44,74.87,3.18
jamestown,20.0,AU,1553058155.0,77.0,-33.21,138.6,78.92,5.97
saleaula,,,,,,,,
mar del plata,0.0,AR,1553058259.0,93.0,-46.43,-67.52,43.1,4.52
hermanus,24.0,ZA,1553058135.0,97.0,-34.42,19.24,63.0,3.18
jacareacanga,0.0,BR,1553058329.0,89.0,-6.22,-57.76,76.49,2.95
la union,0.0,GT,1553058330.0,92.0,14.97,-89.29,60.29,1.95
xanxere,0.0,BR,1553054400.0,82.0,-26.88,-52.4,66.2,4.7
faanui,64.0,PF,1553058330.0,100.0,-16.48,-151.75,83.78,8.21
sao jose da coroa grande,24.0,BR,1553058331.0,95.0,-8.9,-35.15,77.48,9.22
copiapo,0.0,CL,1553054400.0,82.0,-27.37,-70.33,59.0,2.24
